"start" "end" "width" "strand" "gene"
"2136" 2289595 2290392 798 "-" "SCO2130"
"2137" 2290703 2292499 1797 "+" "SCO2131"
"2138" 2292487 2293725 1239 "-" "SCO2132"
"2139" 2293882 2295147 1266 "+" "SCO2133"
"2140" 2295175 2296332 1158 "-" "SCO2134"
"2141" 2296454 2297470 1017 "-" "SCO2135"
"2142" 2297707 2298750 1044 "-" "SCO2136"
"2143" 2298982 2300325 1344 "-" "SCO2137"
"2144" 2300388 2300627 240 "-" "SCO2138"
"2145" 2300785 2301555 771 "+" "SCO2139"
"2146" 2301552 2301833 282 "+" "SCO2140"
"2147" 2301983 2302306 324 "+" "SCO2141"
"2148" 2302365 2303729 1365 "+" "SCO2142"
"2149" 2303726 2304391 666 "+" "SCO2143"
"2150" 2304481 2305890 1410 "+" "SCO2144"
"2151" 2305901 2307199 1299 "+" "SCO2145"
"2152" 2307076 2308506 1431 "-" "SCO2146"
"2153" 2308851 2309915 1065 "-" "SCO2147"
"2154" 2310047 2311684 1638 "-" "SCO2148"
"2155" 2311681 2312742 1062 "-" "SCO2149"
"2156" 2312739 2313548 810 "-" "SCO2150"
"2157" 2313623 2314243 621 "-" "SCO2151"
"2158" 2314453 2314854 402 "+" "SCO2152"
"2159" 2314942 2316216 1275 "-" "SCO2153"
"2160" 2316363 2316761 399 "-" "SCO2154"
"2161" 2316758 2318494 1737 "-" "SCO2155"
"2162" 2318491 2319450 960 "-" "SCO2156"
"2163" 2319777 2321159 1383 "+" "SCO2157"
"2164" 2321282 2322298 1017 "-" "SCO2158"
"2165" 2322389 2322598 210 "+" "SCO2159"
"2166" 2322715 2324265 1551 "+" "SCO2160"
"2167" 2324368 2324724 357 "-" "SCO2161"
"2168" 2325064 2326248 1185 "+" "St6G10A.01"
"2169" 2326327 2329452 3126 "-" "SCO2164"
"2170" 2329632 2330315 684 "-" "SCO2165"
"2171" 2330312 2331562 1251 "-" "SCO2166"
"2172" 2331727 2332011 285 "-" "SCO2167"
"2173" 2332033 2332812 780 "-" "SCO2168"
"2174" 2332994 2333749 756 "+" "SCO2169"
"2175" 2333833 2334534 702 "+" "SCO2170"
"2176" 2334636 2335724 1089 "+" "SCO2171"
"2177" 2335755 2336003 249 "-" "SCO2172"
"2178" 2336218 2337411 1194 "+" "SCO2173"
"2179" 2337400 2338170 771 "-" "SCO2174"
"2180" 2338274 2339347 1074 "+" "SCO2175"
"2181" 2339770 2340510 741 "-" "SCO2176"
"2182" 2340571 2341353 783 "+" "SCO2177"
"2183" 2341371 2342219 849 "-" "SCO2178"
"2184" 2342474 2344027 1554 "+" "SCO2179"
"2185" 2344272 2345732 1461 "+" "SCO2180"
"2186" 2345796 2347568 1773 "+" "SCO2181"
"2187" 2347778 2348401 624 "+" "SCO2182"
"2188" 2348740 2351439 2700 "+" "SCO2183"
"2189" 2351510 2352493 984 "+" "SCO2184"
"2190" 2352501 2352923 423 "+" "SCO2185"
"2191" 2352920 2353624 705 "+" "SCO2186"
"2192" 2353659 2354585 927 "-" "SCO2187"
"2193" 2355010 2355858 849 "+" "SCO2188"
"2194" 2355882 2356391 510 "-" "SCO2189"
"2195" 2356470 2357579 1110 "+" "SCO2190"
"2196" 2357793 2359196 1404 "+" "SCO2191"
"2197" 2359257 2360720 1464 "-" "SCO2192"
"2198" 2360955 2361752 798 "+" "SCO2193"
"2199" 2361907 2362860 954 "+" "SCO2194"
"2200" 2363105 2363320 216 "+" "SCO2195"
"2201" 2363402 2364106 705 "+" "SCO2196"
"2202" 2364217 2364684 468 "-" "SCO2197"
"2203" 2364905 2366314 1410 "+" "SCO2198"
"2204" 2366476 2366745 270 "+" "SCO2199"
"2205" 2366795 2367634 840 "-" "SCO2200"
"2206" 2367728 2368099 372 "+" "SCO2201"
"2207" 2368178 2369092 915 "+" "SCO2202"
"2208" 2369102 2369680 579 "+" "SCO2203"
"2209" 2369767 2370954 1188 "+" "SCO2204"
"2210" 2371009 2371323 315 "-" "SCO2205"
"2211" 2371456 2371857 402 "+" "SCO2206"
"2212" 2371976 2372671 696 "+" "SCO2207"
"2213" 2372674 2373546 873 "-" "SCO2208"
"2214" 2373658 2374182 525 "+" "SCO2209"
"2215" 2374319 2375350 1032 "+" "SCO2210"
"2216" 2375406 2376335 930 "+" "SCO2211"
"2217" 2376423 2376545 123 "+" "SCO2212"
"2218" 2376676 2377257 582 "+" "SCO2213"
"2219" 2377262 2378362 1101 "+" "SCO2214"
"2220" 2378415 2379692 1278 "+" "SCO2215"
"2221" 2379677 2380330 654 "+" "SCO2216"
"2222" 2380490 2381995 1506 "+" "SCO2217"
"2223" 2382072 2382518 447 "-" "SCO2218"
"2224" 2382545 2383162 618 "+" "SCO2219"
"2225" 2383230 2385161 1932 "+" "SCO2220"
"2226" 2385265 2386155 891 "+" "SCO2221"
"2227" 2386152 2387246 1095 "+" "SCO2222"
"2228" 2387313 2388005 693 "+" "SCO2223"
"2229" 2388002 2388466 465 "+" "SCO2224"
"2230" 2388485 2388844 360 "-" "SCO2225"
"2231" 2388900 2394296 5397 "-" "SCO2226"
"2232" 2394422 2394982 561 "-" "SCO2227"
"2233" 2395074 2396807 1734 "-" "SCO2228"
"2234" 2396944 2397855 912 "-" "SCO2229"
"2235" 2397869 2398873 1005 "-" "SCO2230"
"2236" 2398988 2400259 1272 "-" "SCO2231"
"2237" 2400651 2401685 1035 "+" "SCO2232"
"2238" 2401780 2402643 864 "+" "SCO2233"
"2239" 2402769 2405768 3000 "-" "SCO2234"
"2240" 2405942 2406205 264 "+" "SCO2235"
"2241" 2406202 2406456 255 "+" "SCO2236"
"2242" 2406519 2406965 447 "+" "SCO2237"
"2243" 2406988 2408829 1842 "-" "SCO2238"
"2244" 2408840 2409466 627 "-" "SCO2239"
"2245" 2409463 2410131 669 "-" "SCO2240"
"2246" 2410423 2411784 1362 "+" "SCO2241"
"2247" 2411818 2412264 447 "-" "SCO2242"
"2248" 2412355 2412933 579 "+" "SCO2243"
"2249" 2412958 2415018 2061 "-" "SCO2244"
"2250" 2415027 2415236 210 "-" "SCO2245"
"2251" 2415308 2416084 777 "-" "SCO2246"
"2252" 2416129 2416314 186 "-" "SCO2247"
"2253" 2416596 2417093 498 "+" "SCO2248"
"2254" 2417492 2417722 231 "+" "SCO2249"
"2255" 2417879 2418706 828 "+" "SCO2250"
"2256" 2418753 2419427 675 "+" "SCO2251"
"2257" 2419411 2419632 222 "-" "SCO2252"
"2258" 2419629 2420483 855 "-" "SCO2253"
"2259" 2420563 2421804 1242 "-" "SCO2254"
"2260" 2421926 2422978 1053 "-" "SCO2255"
"2261" 2423298 2424173 876 "+" "SCO2256"
"2262" 2424293 2425390 1098 "+" "SCO2257"
"2263" 2425387 2426211 825 "+" "SCO2258"
"2264" 2426233 2430237 4005 "-" "SCO2259"
"2265" 2430388 2431185 798 "+" "SCO2260"
"2266" 2431192 2431449 258 "-" "SCO2261"
"2267" 2431446 2432165 720 "-" "SCO2262"
"2268" 2432297 2432911 615 "+" "SCO2263"
"2269" 2433311 2434606 1296 "+" "SCO2264"
"2270" 2434607 2434885 279 "-" "SCO2265"
"2271" 2434908 2435765 858 "+" "SCO2266"
"2272" 2435930 2436577 648 "+" "SCO2267"
"2273" 2436593 2437237 645 "-" "SCO2268"
"2274" 2437246 2438073 828 "-" "SCO2269"
"2275" 2438127 2439746 1620 "-" "SCO2270"
"2276" 2439787 2441220 1434 "-" "SCO2271"
"2277" 2441324 2442376 1053 "+" "SCO2272"
"2278" 2442373 2443464 1092 "+" "SCO2273"
"2279" 2443461 2444303 843 "+" "SCO2274"
"2280" 2444536 2445690 1155 "+" "SCO2275"
"2281" 2445705 2446967 1263 "+" "SCO2276"
"2282" 2446970 2447842 873 "+" "SCO2277"
"2283" 2447904 2448791 888 "+" "SCO2278"
"2284" 2448807 2449538 732 "-" "SCO2279"
"2285" 2449644 2450291 648 "-" "SCO2280"
"2286" 2450354 2451040 687 "-" "SCO2281"
"2287" 2451048 2452028 981 "-" "SCO2282"
"2288" 2452574 2453629 1056 "-" "SCO2283"
"2289" 2453707 2454993 1287 "-" "SCO2284"
"2290" 2455103 2456158 1056 "+" "SCO2285"
"2291" 2456145 2457821 1677 "-" "SCO2286"
"2292" 2457954 2458745 792 "+" "SCO2287"
"2293" 2459004 2459330 327 "-" "SCO2288"
"2294" 2459484 2460026 543 "+" "SCO2289"
"2295" 2460057 2460398 342 "+" "SCO2290"
"2296" 2460463 2461470 1008 "-" "SCO2291"
"2297" 2461505 2462512 1008 "-" "SCO2292"
"2298" 2462887 2463312 426 "-" "rnpB"
"2299" 2463222 2464202 981 "-" "SCO2293"
"2300" 2464222 2465058 837 "-" "SCO2294"
"2301" 2465169 2465930 762 "+" "SCO2295"
"2302" 2465927 2466541 615 "+" "SCO2296"
"2303" 2466581 2467363 783 "+" "SCO2297"
"2304" 2467437 2468096 660 "+" "SCO2298"
"2305" 2468071 2469564 1494 "-" "SCO2299"
"2306" 2468792 2468812 21 "-" "none"
"2307" 2468813 2468842 30 "-" "none"
"2308" 2468843 2468872 30 "-" "none"
"2309" 2469576 2470166 591 "-" "SCO2300"
"2310" 2470316 2471173 858 "-" "SCO2301"
"2311" 2471382 2472650 1269 "+" "SCO2302"
"2312" 2472748 2472915 168 "+" "SCO2303"
"2313" 2473023 2474024 1002 "-" "SCO2304"
"2314" 2474063 2474989 927 "+" "SCO2305"
"2315" 2474986 2475702 717 "+" "SCO2306"
"2316" 2475740 2476969 1230 "+" "SCO2307"
"2317" 2477055 2477687 633 "+" "SCO2308"
"2318" 2478172 2479641 1470 "-" "SCO2309"
"2319" 2479917 2481674 1758 "+" "SCO2310"
"2320" 2481918 2483546 1629 "+" "SCO2311"
"2321" 2483562 2484278 717 "+" "SCO2312"
"2322" 2484289 2485299 1011 "+" "SCO2313"
"2323" 2485458 2486327 870 "+" "SCO2314"
"2324" 2486429 2486722 294 "+" "SCO2315"
"2325" 2486736 2487833 1098 "-" "SCO2316"
"2326" 2487830 2488564 735 "-" "SCO2317"
"2327" 2488558 2490054 1497 "-" "SCO2318"
"2328" 2490169 2490921 753 "+" "SCO2319"
"2329" 2490934 2491818 885 "-" "SCO2320"
"2330" 2491926 2493185 1260 "+" "SCO2321"
"2331" 2493182 2493844 663 "+" "SCO2322"
"2332" 2493924 2495063 1140 "+" "SCO2323"
"2333" 2495060 2496751 1692 "+" "SCO2324"
"2334" 2496748 2497599 852 "+" "SCO2325"
"2335" 2497804 2498268 465 "+" "SCO2326"
"2336" 2498289 2498675 387 "-" "SCO2327"
"2337" 2498914 2499570 657 "+" "SCO2328"
"2338" 2499573 2500535 963 "-" "SCO2329"
"2339" 2500697 2501287 591 "+" "SCO2330"
"2340" 2501284 2501697 414 "-" "SCO2331"
"2341" 2501757 2502536 780 "+" "SCO2332"
"2342" 2502545 2502709 165 "+" "SCO2333"
"2343" 2502808 2504463 1656 "+" "SCO2334"
"2344" 2504417 2506702 2286 "-" "SCO2335"
"2345" 2506906 2508294 1389 "+" "SCO2336"
"2346" 2508324 2508884 561 "+" "SCO2337"
"2347" 2508881 2509552 672 "+" "SCO2338"
"2348" 2509609 2510091 483 "-" "SCO2339"
"2349" 2510090 2510497 408 "+" "SCO2340"
"2350" 2510508 2511071 564 "-" "SCO2341"
"2351" 2511076 2511747 672 "-" "SCO2342"
"2352" 2511913 2512446 534 "+" "SCO2343"
"2353" 2512483 2514552 2070 "-" "SCO2344"
"2354" 2514601 2515959 1359 "+" "SCO2345"
"2355" 2515998 2516663 666 "-" "SCO2346"
"2356" 2516812 2517393 582 "-" "SCO2347"
"2357" 2517893 2518537 645 "+" "SCO2348"
"2358" 2518626 2520308 1683 "+" "SCO2349"
"2359" 2520564 2521025 462 "+" "SCO2350"
"2360" 2521200 2521838 639 "+" "SCO2351"
"2361" 2521928 2522161 234 "-" "SCO2352"
"2362" 2522166 2522807 642 "-" "SCO2353"
"2363" 2522814 2523149 336 "+" "SCO2354"
"2364" 2523500 2524270 771 "+" "SCO2355"
"2365" 2524342 2525745 1404 "+" "SCO2356"
"2366" 2525802 2526020 219 "+" "SCO2357"
"2367" 2526064 2526702 639 "-" "SCO2358"
"2368" 2526699 2527817 1119 "-" "SCO2359"
"2369" 2527923 2528804 882 "+" "SCO2360"
"2370" 2528722 2529534 813 "-" "SCO2361"
"2371" 2529534 2532053 2520 "-" "SCO2362"
"2372" 2532132 2533298 1167 "-" "SCO2363"
"2373" 2533506 2534501 996 "+" "SCO2364"
"2374" 2534532 2535269 738 "-" "SCO2365"
"2375" 2535421 2536563 1143 "-" "SCO2366"
"2376" 2536613 2537188 576 "-" "SCO2367"
"2377" 2537340 2537915 576 "-" "SCO2368"
"2378" 2538097 2538555 459 "-" "SCO2369"
"2379" 2538717 2539196 480 "-" "SCO2370"
"2380" 2539576 2542332 2757 "+" "SCO2371"
"2381" 2542460 2542768 309 "-" "SCO2372"
"2382" 2543007 2544617 1611 "-" "SCO2373"
"2383" 2544733 2545416 684 "+" "SCO2374"
"2384" 2545471 2546691 1221 "+" "SCO2375"
"2385" 2546758 2547645 888 "+" "SCO2376"
"2386" 2547771 2548787 1017 "-" "SCO2377"
"2387" 2548784 2549374 591 "-" "SCO2378"
"2388" 2549404 2549871 468 "+" "SCO2379"
"2389" 2549891 2550712 822 "+" "SCO2380"
"2390" 2550901 2551737 837 "+" "SCO2381"
"2391" 2551706 2551903 198 "+" "SCO2382"
"2392" 2552256 2556893 4638 "+" "SCO2383"
"2393" 2556886 2557305 420 "+" "SCO2384"
"2394" 2557326 2557982 657 "-" "SCO2385"
"2395" 2558045 2559250 1206 "+" "SCO2386"
"2396" 2559340 2560290 951 "+" "SCO2387"
"2397" 2560307 2561338 1032 "+" "SCO2388"
"2398" 2561443 2561691 249 "+" "SCO2389"
"2399" 2561801 2563090 1290 "+" "SCO2390"
"2400" 2563192 2563686 495 "-" "SCO2391"
"2401" 2563944 2564861 918 "+" "SCO2392"
"2402" 2564900 2565871 972 "+" "SCO2393"
"2403" 2566207 2567460 1254 "+" "SCO2394"
"2404" 2567432 2568256 825 "-" "SCO2395"
"2405" 2568352 2568771 420 "-" "SCO2396"
"2406" 2568888 2569982 1095 "-" "SCO2397"
"2407" 2570030 2570485 456 "+" "SCO2398"
"2408" 2570546 2571427 882 "+" "SCO2399"
"2409" 2571440 2572189 750 "-" "SCO2400"
"2410" 2572404 2573570 1167 "+" "SCO2401"
"2411" 2573567 2574583 1017 "+" "SCO2402"
"2412" 2574719 2575690 972 "+" "SCO2403"
"2413" 2575786 2576895 1110 "+" "SCO2404"
"2414" 2576928 2578505 1578 "+" "SCO2405"
"2415" 2578502 2579746 1245 "+" "SCO2406"
"2416" 2579862 2580962 1101 "+" "SCO2407"
"2417" 2581080 2582705 1626 "+" "SCO2408"
"2418" 2582733 2583998 1266 "-" "SCO2409"
"2419" 2584078 2584839 762 "-" "SCO2410"
"2420" 2584886 2585440 555 "-" "SCO2411"
"2421" 2585467 2586126 660 "-" "SCO2412"
"2422" 2586123 2586635 513 "-" "SCO2413"
"2423" 2586632 2587933 1302 "-" "SCO2414"
"2424" 2587930 2589171 1242 "-" "SCO2415"
"2425" 2589168 2590181 1014 "-" "SCO2416"
"2426" 2590178 2591233 1056 "-" "SCO2417"
"2427" 2591230 2592294 1065 "-" "SCO2418"
"2428" 2592291 2593547 1257 "-" "SCO2419"
"2429" 2593549 2594355 807 "-" "SCO2420"
"2430" 2594362 2595126 765 "-" "SCO2421"
"2431" 2595123 2596154 1032 "-" "SCO2422"
"2432" 2596787 2597419 633 "+" "SCO2423"
"2433" 2597556 2599157 1602 "+" "SCO2424"
"2434" 2599192 2600133 942 "+" "SCO2425"
"2435" 2600318 2601529 1212 "+" "SCO2426"
"2436" 2600825 2600827 3 "+" "none"
"2437" 2600837 2600839 3 "+" "none"
"2438" 2601569 2602537 969 "-" "SCO2427"
"2439" 2602879 2604447 1569 "+" "SCO2428"
"2440" 2604477 2605133 657 "-" "SCO2429"
"2441" 2605550 2608351 2802 "+" "SCO2430"
"2442" 2608364 2609869 1506 "-" "SCO2431"
"2443" 2609897 2610760 864 "-" "SCO2432"
"2444" 2610757 2611698 942 "-" "SCO2433"
"2445" 2611695 2613053 1359 "-" "SCO2434"
"2446" 2613322 2613849 528 "+" "SCO2435"
"2447" 2613846 2615030 1185 "+" "SCO2436"
"2448" 2615125 2616336 1212 "+" "SCO2437"
"2449" 2616326 2617732 1407 "+" "SCO2438"
"2450" 2617790 2618650 861 "-" "SCO2439"
"2451" 2618647 2619420 774 "-" "SCO2440"
"2452" 2619547 2620149 603 "+" "SCO2441"
"2453" 2620174 2620881 708 "-" "SCO2442"
"2454" 2621091 2622488 1398 "+" "SCO2443"
"2455" 2622576 2624033 1458 "+" "SCO2444"
"2456" 2624026 2625402 1377 "+" "SCO2445"
"2457" 2625671 2629333 3663 "-" "SCO2446"
"2458" 2629512 2629973 462 "+" "SCO2447"
"2459" 2629970 2631634 1665 "+" "SCO2448"
"2460" 2631773 2632795 1023 "+" "SCO2449"
"2461" 2632795 2636844 4050 "+" "SCO2450"
"2462" 2637014 2638096 1083 "+" "SCO2451"
"2463" 2638132 2639559 1428 "+" "SCO2452"
"2464" 2639574 2639792 219 "+" "SCO2453"
"2465" 2640001 2642232 2232 "+" "SCO2454"
"2466" 2642344 2643939 1596 "-" "SCO2455"
"2467" 2644019 2644459 441 "-" "SCO2456"
"2468" 2644511 2644906 396 "-" "SCO2457"
"2469" 2644903 2645421 519 "-" "SCO2458"
"2470" 2645538 2646071 534 "+" "SCO2459"
"2471" 2646222 2646650 429 "-" "SCO2460"
"2472" 2647411 2647737 327 "+" "SCO2461"
"2473" 2647782 2649230 1449 "+" "SCO2462"
"2474" 2649370 2651103 1734 "+" "SCO2463"
"2475" 2651103 2653031 1929 "+" "SCO2464"
"2476" 2653137 2654327 1191 "-" "SCO2465"
"2477" 2654512 2655117 606 "+" "SCO2466"
"2478" 2655114 2656115 1002 "+" "SCO2467"
"2479" 2656131 2658056 1926 "-" "SCO2468"
"2480" 2658086 2659351 1266 "-" "SCO2469"
"2481" 2659480 2660754 1275 "-" "SCO2470"
"2482" 2660813 2661637 825 "-" "SCO2471"
"2483" 2661818 2662504 687 "+" "SCO2472"
"2484" 2662608 2665067 2460 "+" "SCO2473"
"2485" 2665196 2666839 1644 "+" "SCO2474"
"2486" 2666940 2667869 930 "+" "SCO2475"
"2487" 2667818 2668561 744 "-" "SCO2476"
"2488" 2668624 2669391 768 "-" "SCO2477"
"2489" 2669524 2670111 588 "-" "SCO2478"
"2490" 2670321 2670863 543 "+" "SCO2479"
"2491" 2670982 2671614 633 "+" "SCO2480"
"2492" 2671552 2671941 390 "-" "SCO2481"
"2493" 2672049 2672984 936 "+" "SCO2482"
"2494" 2673003 2673713 711 "+" "SCO2483"
"2495" 2673743 2675029 1287 "+" "SCO2484"
"2496" 2675087 2675869 783 "-" "SCO2485"
"2497" 2676046 2677278 1233 "+" "SCO2486"
"2498" 2677278 2679893 2616 "+" "SCO2487"
"2499" 2679896 2680291 396 "+" "SCO2488"
"2500" 2680340 2680924 585 "+" "SCO2489"
"2501" 2681005 2681772 768 "+" "SCO2490"
"2502" 2681817 2682749 933 "-" "SCO2491"
"2503" 2682933 2683406 474 "+" "SCO2492"
"2504" 2683469 2684677 1209 "-" "SCO2493"
"2505" 2684904 2687633 2730 "-" "SCO2494"
"2506" 2688116 2689894 1779 "+" "SCO2495"
"2507" 2690016 2690456 441 "+" "SCO2496"
"2508" 2690476 2691696 1221 "-" "SCO2497"
"2509" 2691805 2693250 1446 "+" "SCO2498"
"2510" 2693290 2697708 4419 "-" "SCO2499"
"2511" 2697734 2698408 675 "+" "SCO2500"
"2512" 2698679 2699575 897 "-" "SCO2501"
"2513" 2699686 2701119 1434 "+" "SCO2502"
"2514" 2701242 2702318 1077 "+" "SCO2503"
"2515" 2702461 2703843 1383 "-" "SCO2504"
"2516" 2704004 2704990 987 "+" "SCO2505"
"2517" 2705052 2705822 771 "+" "SCO2506"
"2518" 2705836 2706738 903 "+" "SCO2507"
"2519" 2706801 2707220 420 "+" "SCO2508"
"2520" 2707331 2708164 834 "-" "SCO2509"
"2521" 2708177 2708932 756 "-" "SCO2510"
"2522" 2708946 2709167 222 "-" "SCO2511"
"2523" 2709164 2709370 207 "-" "SCO2512"
"2524" 2709485 2710318 834 "+" "SCO2513"
"2525" 2710300 2710590 291 "+" "SCO2514"
"2526" 2710619 2711158 540 "+" "SCO2515"
"2527" 2711253 2712752 1500 "+" "SCO2516"
"2528" 2712740 2713423 684 "-" "SCO2517"
"2529" 2713432 2714775 1344 "-" "SCO2518"
"2530" 2714777 2716855 2079 "-" "SCO2519"
"2531" 2717003 2718136 1134 "-" "SCO2520"
"2532" 2718235 2719215 981 "-" "SCO2521"
"2533" 2719217 2720170 954 "-" "SCO2522"
"2534" 2720179 2721096 918 "-" "SCO2523"
"2535" 2721099 2722943 1845 "-" "SCO2524"
"2536" 2722278 2722280 3 "-" "none"
"2537" 2723027 2723800 774 "-" "SCO2525"
"2538" 2724049 2724603 555 "+" "SCO2526"
"2539" 2724600 2725295 696 "-" "SCO2527"
"2540" 2725480 2727201 1722 "-" "SCO2528"
"2541" 2727564 2728634 1071 "+" "SCO2529"
"2542" 2728656 2728922 267 "+" "SCO2530"
"2543" 2728980 2730326 1347 "+" "SCO2531"
"2544" 2730432 2731511 1080 "+" "SCO2532"
"2545" 2731524 2732021 498 "+" "SCO2533"
"2546" 2732018 2733322 1305 "+" "SCO2534"
"2547" 2733319 2733693 375 "+" "SCO2535"
"2548" 2733655 2735154 1500 "-" "SCO2536"
"2549" 2735261 2736145 885 "+" "SCO2537"
"2550" 2736142 2736540 399 "+" "SCO2538"
"2551" 2736597 2737559 963 "+" "SCO2539"
"2552" 2737582 2738772 1191 "-" "SCO2540"
"2553" 2738852 2740222 1371 "-" "SCO2541"
"2554" 2740287 2741582 1296 "-" "SCO2542"
"2555" 2741579 2742547 969 "-" "SCO2543"
"2556" 2742662 2743459 798 "+" "SCO2544"
"2557" 2743633 2744982 1350 "+" "SCO2545"
"2558" 2745002 2746024 1023 "-" "SCO2546"
"2559" 2746021 2746926 906 "-" "SCO2547"
"2560" 2746955 2747308 354 "-" "SCO2548"
"2561" 2747664 2750867 3204 "-" "SCO2549"
"2562" 2750935 2751450 516 "-" "SCO2550"
"2563" 2751556 2751900 345 "+" "SCO2551"
"2564" 2751941 2752690 750 "-" "SCO2552"
"2565" 2752687 2753781 1095 "-" "SCO2553"
"2566" 2753870 2755006 1137 "-" "SCO2554"
"2567" 2755007 2756023 1017 "-" "SCO2555"
"2568" 2756208 2756951 744 "+" "SCO2556"
"2569" 2756986 2757810 825 "+" "SCO2557"
"2570" 2757788 2758462 675 "-" "SCO2558"
"2571" 2758482 2759789 1308 "-" "SCO2559"
"2572" 2759799 2762177 2379 "-" "SCO2560"
"2573" 2762403 2764346 1944 "-" "SCO2561"
"2574" 2764588 2766456 1869 "-" "SCO2562"
"2575" 2766694 2766960 267 "+" "SCO2563"
"2576" 2767268 2768278 1011 "-" "SCO2564"
"2577" 2768323 2768544 222 "-" "SCO2565"
"2578" 2768600 2769481 882 "-" "SCO2566"
"2579" 2769878 2772445 2568 "-" "SCO2567"
"2580" 2772442 2773509 1068 "-" "SCO2568"
"2581" 2773654 2774499 846 "-" "SCO2569"
"2582" 2774591 2775367 777 "-" "SCO2570"
"2583" 2775536 2778436 2901 "-" "SCO2571"
"2584" 2778973 2780259 1287 "+" "SCO2572"
"2585" 2780292 2781866 1575 "+" "SCO2573"
"2586" 2782151 2782384 234 "-" "SCO2574"
"2587" 2782388 2782615 228 "-" "SCO2575"
"2588" 2782944 2783615 672 "-" "SCO2576"
"2589" 2783612 2784058 447 "-" "SCO2577"
"2590" 2784151 2785929 1779 "-" "SCO2578"
"2591" 2785946 2786662 717 "-" "SCO2579"
"2592" 2786722 2786889 168 "-" "SCO2580"
"2593" 2786987 2787181 195 "-" "SCO2581"
"2594" 2787290 2788498 1209 "+" "SCO2582"
"2595" 2788512 2789582 1071 "-" "SCO2583"
"2596" 2789669 2790355 687 "-" "SCO2584"
"2597" 2790362 2791648 1287 "-" "SCO2585"
"2598" 2791720 2792250 531 "-" "SCO2586"
"2599" 2792386 2793510 1125 "-" "SCO2587"
"2600" 2794753 2796912 2160 "+" "SCO2588"
"2601" 2797141 2799372 2232 "+" "SCO2589"
"2602" 2799396 2802989 3594 "+" "SCO2590"
"2603" 2803160 2804890 1731 "+" "SCO2591"
"2604" 2804967 2807795 2829 "-" "SCO2592"
"2605" 2807802 2808791 990 "-" "SCO2593"
"2606" 2808791 2810599 1809 "-" "SCO2594"
"2607" 2810811 2812247 1437 "-" "SCO2595"
"2608" 2812358 2812612 255 "-" "SCO2596"
"2609" 2812627 2812947 321 "-" "SCO2597"
"2610" 2813146 2814168 1023 "-" "SCO2598"
"2611" 2814360 2818382 4023 "-" "SCO2599"
"2612" 2818657 2819433 777 "-" "SCO2600"
"2613" 2819482 2820558 1077 "-" "SCO2601"
"2614" 2820608 2822731 2124 "-" "SCO2602"
"2615" 2823656 2825212 1557 "+" "SCO2603"
"2616" 2823749 2823751 3 "+" "none"
"2617" 2825348 2826283 936 "-" "SCO2604"
"2618" 2826032 2826034 3 "-" "none"
"2619" 2826447 2827148 702 "+" "SCO2605"
"2620" 2827396 2829381 1986 "-" "SCO2606"
"2621" 2829460 2830656 1197 "-" "SCO2607"
"2622" 2830653 2832962 2310 "-" "SCO2608"
"2623" 2833015 2833686 672 "-" "SCO2609"
"2624" 2833700 2834725 1026 "-" "SCO2610"
"2625" 2834908 2835939 1032 "-" "SCO2611"
"2626" 2836247 2836660 414 "-" "SCO2612"
"2627" 2836785 2837141 357 "-" "SCO2613"
"2628" 2837148 2838482 1335 "-" "SCO2614"
"2629" 2838957 2841581 2625 "-" "SCO2615"
"2630" 2841719 2842726 1008 "+" "SCO2616"
"2631" 2842798 2844084 1287 "-" "SCO2617"
"2632" 2844276 2844986 711 "-" "SCO2618"
"2633" 2845037 2845696 660 "-" "SCO2619"
"2634" 2846000 2847406 1407 "-" "SCO2620"
"2635" 2847983 2848177 195 "-" "SCO2621"
"2636" 2848812 2849981 1170 "+" "SCO2622"
"2637" 2849992 2850486 495 "-" "SCO2623"
"2638" 2850510 2851697 1188 "-" "SCO2624"
"2639" 2851911 2853152 1242 "+" "SCO2625"
"2640" 2853163 2854005 843 "-" "SCO2626"
"2641" 2854112 2854591 480 "-" "SCO2627"
"2642" 2854806 2856074 1269 "+" "SCO2628"
"2643" 2856104 2856250 147 "+" "SCO2629"
"2644" 2856329 2857072 744 "-" "SCO2630"
"2645" 2857300 2858685 1386 "+" "SCO2631"
"2646" 2858918 2859937 1020 "+" "SCO2632"
"2647" 2860089 2860730 642 "+" "SCO2633"
"2648" 2860846 2861496 651 "-" "SCO2634"
"2649" 2861702 2864203 2502 "+" "SCO2635"
"2650" 2864407 2865597 1191 "+" "SCO2636"
"2651" 2865913 2869209 3297 "+" "SCO2637"
"2652" 2869281 2870030 750 "-" "SCO2638"
"2653" 2870032 2870658 627 "-" "SCO2639"
"2654" 2870836 2871858 1023 "+" "SCO2640"
"2655" 2871981 2873168 1188 "+" "SCO2641"
"2656" 2873181 2873657 477 "-" "SCO2642"
"2657" 2873770 2876343 2574 "+" "SCO2643"
"2658" 2876450 2877352 903 "-" "SCO2644"
"2659" 2877382 2878338 957 "-" "SCO2645"
"2660" 2878372 2879334 963 "-" "SCO2646"
"2661" 2879447 2879965 519 "+" "SCO2647"
"2662" 2880082 2880369 288 "-" "SCO2648"
"2663" 2880455 2882590 2136 "-" "SCO2649"
"2664" 2882600 2882911 312 "-" "SCO2650"
"2665" 2883219 2883956 738 "-" "SCO2651"
